playlist,total_tracks,duplicate_items,report_path
Rebond oublié (100 titres),100,51,/app/playlists/reports/Rebond_oubli_100_titres_duplicates.csv
Redécouvertes notées (80 titres),80,28,/app/playlists/reports/Redcouvertes_notes_80_titres_duplicates.csv
Reggae & Roots (500 titres),500,161,/app/playlists/reports/Reggae__Roots_500_titres_duplicates.csv
Reggaeton & Urban (248 titres),248,75,/app/playlists/reports/Reggaeton__Urban_248_titres_duplicates.csv
Relaxation (90 titres),90,57,/app/playlists/reports/Relaxation_90_titres_duplicates.csv
Remixes & Edits (500 titres),500,129,/app/playlists/reports/Remixes__Edits_500_titres_duplicates.csv
Repas entre amis (120 titres),120,95,/app/playlists/reports/Repas_entre_amis_120_titres_duplicates.csv
Repeat rewind (44 titres),44,35,/app/playlists/reports/Repeat_rewind_44_titres_duplicates.csv
Road trip (120 titres),120,102,/app/playlists/reports/Road_trip_120_titres_duplicates.csv
Rock Classique (260 titres),260,74,/app/playlists/reports/Rock_Classique_260_titres_duplicates.csv
Romantique (500 titres),500,172,/app/playlists/reports/Romantique_500_titres_duplicates.csv
Running & Workout (2463 titres),2463,926,/app/playlists/reports/Running__Workout_2463_titres_duplicates.csv
Running (140 titres),140,34,/app/playlists/reports/Running_140_titres_duplicates.csv
Réveil Doux (500 titres),500,262,/app/playlists/reports/Rveil_Doux_500_titres_duplicates.csv
SUMMER HITS 2000-2022 (5 titres),5,0,/app/playlists/reports/SUMMER_HITS_2000-2022_5_titres_duplicates.csv
Session massage tantrique (100 titres),100,30,/app/playlists/reports/Session_massage_tantrique_100_titres_duplicates.csv
Sieste & Sommeil (500 titres),500,248,/app/playlists/reports/Sieste__Sommeil_500_titres_duplicates.csv
Slow love (100 titres),100,58,/app/playlists/reports/Slow_love_100_titres_duplicates.csv
Soirée & Fête (500 titres),500,148,/app/playlists/reports/Soire__Fte_500_titres_duplicates.csv
Soirée (107 titres),107,51,/app/playlists/reports/Soire_107_titres_duplicates.csv
Sweet spot perso (120 titres),120,72,/app/playlists/reports/Sweet_spot_perso_120_titres_duplicates.csv
Synthwave & Retrowave (21 titres),21,9,/app/playlists/reports/Synthwave__Retrowave_21_titres_duplicates.csv
Terrasse chill (120 titres),120,42,/app/playlists/reports/Terrasse_chill_120_titres_duplicates.csv
Top 100 plus écoutés,100,67,/app/playlists/reports/Top_100_plus_couts_duplicates.csv
Top Fun Radio (300 titres),300,66,/app/playlists/reports/Top_Fun_Radio_300_titres_duplicates.csv
Top NRJ (300 titres),300,198,/app/playlists/reports/Top_NRJ_300_titres_duplicates.csv
Top Radio RFM (300 titres),300,202,/app/playlists/reports/Top_Radio_RFM_300_titres_duplicates.csv
Travail & Focus (500 titres),500,140,/app/playlists/reports/Travail__Focus_500_titres_duplicates.csv
Vibes 2000s (158 titres),158,14,/app/playlists/reports/Vibes_2000s_158_titres_duplicates.csv
Vibes 2000s (458 titres),458,77,/app/playlists/reports/Vibes_2000s_458_titres_duplicates.csv
Vibes 2010s (296 titres),296,12,/app/playlists/reports/Vibes_2010s_296_titres_duplicates.csv
Vibes 2010s (500 titres),500,49,/app/playlists/reports/Vibes_2010s_500_titres_duplicates.csv
Vibes 2020s (393 titres),393,86,/app/playlists/reports/Vibes_2020s_393_titres_duplicates.csv
Vibes 60s (207 titres),207,116,/app/playlists/reports/Vibes_60s_207_titres_duplicates.csv
Vibes 60s (68 titres),68,41,/app/playlists/reports/Vibes_60s_68_titres_duplicates.csv
Vibes 70s (236 titres),236,83,/app/playlists/reports/Vibes_70s_236_titres_duplicates.csv
Vibes 70s (50 titres),50,0,/app/playlists/reports/Vibes_70s_50_titres_duplicates.csv
Vibes 80s (282 titres),282,61,/app/playlists/reports/Vibes_80s_282_titres_duplicates.csv
Vibes 90s (109 titres),109,4,/app/playlists/reports/Vibes_90s_109_titres_duplicates.csv
Vibes 90s (261 titres),261,33,/app/playlists/reports/Vibes_90s_261_titres_duplicates.csv
Voyage & Découverte (500 titres),500,208,/app/playlists/reports/Voyage__Dcouverte_500_titres_duplicates.csv
Workout intense (36 titres),36,20,/app/playlists/reports/Workout_intense_36_titres_duplicates.csv
Workout performance (140 titres),140,38,/app/playlists/reports/Workout_performance_140_titres_duplicates.csv
World vibes (47 titres),47,19,/app/playlists/reports/World_vibes_47_titres_duplicates.csv
Yoga & Méditation (303 titres),303,127,/app/playlists/reports/Yoga__Mditation_303_titres_duplicates.csv
Yoga (120 titres),120,39,/app/playlists/reports/Yoga_120_titres_duplicates.csv
À redécouvrir (68 titres),68,27,/app/playlists/reports/redcouvrir_68_titres_duplicates.csv
Épique & Cinématique (500 titres),500,169,/app/playlists/reports/pique__Cinmatique_500_titres_duplicates.csv
Été & Soleil (500 titres),500,144,/app/playlists/reports/t__Soleil_500_titres_duplicates.csv
⭐ 1 étoiles (9 titres),9,2,/app/playlists/reports/1_toiles_9_titres_duplicates.csv
⭐ 2 étoiles (6 titres),6,0,/app/playlists/reports/2_toiles_6_titres_duplicates.csv
⭐ 3 étoiles (11 titres),11,7,/app/playlists/reports/3_toiles_11_titres_duplicates.csv
⭐ 4 étoiles (111 titres),111,63,/app/playlists/reports/4_toiles_111_titres_duplicates.csv
⭐ 5 étoiles (98 titres),98,44,/app/playlists/reports/5_toiles_98_titres_duplicates.csv
⭐ Stars 80 FR & US (17274 titres),17274,11161,/app/playlists/reports/Stars_80_FR__US_17274_titres_duplicates.csv
